Cód,Unid,Descripción,PVP,% Dto.,% IVA,Total
6,1,SERVEIS EXTRAORDINARIS,"575,00",,21,"575,00"
,,TREBALLS EN FERRO I FUSTA SOL·LICITATS PER DIRECCIÓ,,,,
,,"(PORTES I BARANES MALMESES), REALITZATS ENTRE EL DIA",,,,
,,5/9 I EL 9/9 PER PART DE DOS OFICIALS ESPECIALITZATS.,,,,
11,1,COMPRA DE MATERIALS,"132,93",,21,"132,93"
,,COMPRA MATERIAL FERRO:,,,,
,,TUB 60MM 2.2MM GRUIX 6M,,,,
,,PLETINES 5MM 100X100MM PERFORADES,,,,
,,TALLS I TORNILLERIA,,,,
11,1,COMPRA DE MATERIALS,"129,24",,21,"129,24"
,,COMPRA MATERIALS FUSTA:,,,,
,,TAPETES,,,,
,,BATENTS,,,,
,,DMS,,,,
,,JUNQUILLOS ESPECIFICS,,,,
,,MONTA-KIT (2),,,,
,,TORNILLERIA,,,,
